Name,win_start,win_end,predicted_speed_mps,Real_mps,Abs_Error_mps
3_Castor_Canada,0.0,2.0,1.3308,,
3_Castor_Canada,1.0,3.0,1.3658,,
3_Castor_Canada,2.0,4.0,1.3449,,
3_Castor_Canada,3.0,5.0,1.3449,,
3_Castor_Canada,4.0,6.0,1.3391,,
3_Castor_Canada,5.0,7.0,1.3391,,
3_Castor_Canada,6.0,8.0,1.3391,,
3_Castor_Canada,7.0,9.0,1.3391,,
3_Castor_Canada,8.0,10.0,1.3391,,
3_Castor_Canada,9.0,11.0,1.3391,,
3_Castor_Canada,10.0,12.0,1.3391,,
3_Castor_Canada,11.0,13.0,1.3391,,
3_Castor_Canada,12.0,14.0,1.344,,
3_Castor_Canada,13.0,15.0,1.3628,,
3_Castor_Canada,14.0,16.0,1.3619,,
3_Castor_Canada,15.0,17.0,1.3449,,
3_Castor_Canada,16.0,18.0,1.3401,,
3_Castor_Canada,17.0,19.0,1.3391,,
3_Castor_Canada,18.0,20.0,1.3391,,
3_Castor_Canada,19.0,21.0,1.3391,,
3_Castor_Canada,20.0,22.0,1.3391,,
3_Castor_Canada,21.0,23.0,1.3405,,
3_Castor_Canada,22.0,24.0,1.3391,,
3_Castor_Canada,23.0,25.0,1.3391,,
3_Castor_Canada,24.0,26.0,1.3449,,
3_Castor_Canada,25.0,27.0,1.344,,
3_Castor_Canada,26.0,28.0,1.344,,
3_Castor_Canada,27.0,29.0,1.344,,
3_Castor_Canada,28.0,30.0,1.344,,
